symbol,IR-mock,Apoptosis
Phlda3,None,Yes
Cdkn1a,None,Yes
Tnfsf4,Up,Yes
Gm10721,None,No
Gm10719,None,No
Tex15,Up,No
Plb1,None,No
1700007K13Rik,None,No
Grhl3,None,No
Plk2,None,Yes
Zfp365,None,No
Psrc1,None,No
Bbc3,None,Yes
Gtse1,None,No
Dact3,None,No
Matn1,None,No
Ckmt1,None,Yes
Prrg4,None,No
Cox6b2,None,No
Inka2,None,No
Ddias,None,Yes
Slc19a2,None,No
Robo3,None,No
Scn4b,None,No
Cep170b,None,No
Gm9949,Down,No
Hmcn2,None,No
Kank3,Up,No
Cd80,None,No
Dcxr,None,No
Sesn2,None,No
Hic1,None,Yes
Rhod,None,No
Epha2,None,Yes
Fam131a,None,No
Enc1,None,No
Ier5l,None,No
Snai3,None,No
Celf5,None,No
Akap1,Up,Yes
Dglucy,Down,No
Plekha7,Down,No
Plod2,None,No
Thyn1,Up,No
Rac3,None,No
Dennd2c,None,No
Ankrd13b,Up,No
Cdc42bpg,None,No
Ikbke,None,Yes
Pkd1l2,None,No
Abcb1b,Up,No
Cfap126,None,No
Ogdhl,None,No
Asap3,None,No
Ccng1,None,Yes
Pidd1,Up,Yes
Mef2b,Up,No
Lpin1,Down,No
Macroh2a3,Up,No
Dzip1,None,No
Ak1,None,No
Polk,None,No
Ppp1r36,None,No
Gm8482,None,No
Gm7451,Up,No
Fas,Up,Yes
Mybl1,None,No
Macroh2a2,Up,No
Zmat3,None,No
Ckap2,Up,Yes
Ddit4l,None,No
Gcdh,None,No
Aldh4a1,None,No
Mgmt,None,Yes
Bmp1,None,No
Ei24,None,Yes
Cpt1c,None,No
Jag2,None,Yes
Pmaip1,None,Yes
Cad,Up,No
Acad8,None,No
Aen,Up,Yes
ENSMUSG00000072812,None,No
Ccnf,None,No
Aaas,None,No
Gm13854,None,No
Cercam,None,No
Scarf2,None,No
Pcdhgc3,None,Yes
Dyrk3,None,Yes
Exoc4,None,No
Gnb1l,Up,No
Vcan,Up,No
Lacc1,None,No
Plxna1,None,No
Atg9b,None,No
Mcam,None,No
Ass1,None,No
Rtl10,Up,No
Kifc1,None,No
Ptpdc1,None,No
Tnfsf8,None,No
Syt12,None,No
Rxylt1,None,No
Spc25,None,No
Bax,Up,Yes
Tmem63b,Up,No
Efcab8,None,No
Apaf1,None,Yes
Notch3,None,No
Qpctl,None,No
Trp53inp1,Down,Yes
Ddit4,None,Yes
Cdkn2b,None,No
Rasd1,None,No
BC034090,None,No
Gm21969,None,No
Dcaf4,None,No
Sulf2,None,No
Gria3,None,No
Ctc1,None,No
Hdac4,None,Yes
Gm28041,Up,No
Gm6786,None,No
Wnt6,None,No
Sp6,None,No
Klhl26,None,No
Zfp385a,Down,Yes
Sh3yl1,Down,No
Ccdc122,None,No
Hmgcll1,Down,No
Slc35e4,None,No
Klrb1,None,No
Peli3,None,Yes
Rap2b,None,No
Jun,None,Yes
Slc2a9,Down,No
Mdm2,None,Yes
Kif18b,None,No
Slc22a12,None,No
Gpr179,None,No
Sgsm2,None,No
Cpne2,None,No
Fosl1,Up,Yes
Slc39a14,Up,No
Lif,None,No
Gm12895,Down,No
Gm12896,Down,No
Ldhb,None,No
Rps27l,Up,Yes
Csf1,None,No
Heyl,None,No
Fam216a,None,No
Cby1,None,No
Pomt2,Up,No
Nexmif,None,No
Stac2,Down,No
Fam83h,None,No
Gna15,Down,No
Rrm2,None,No
Creb3l1,None,Yes
Dnm1,None,No
Muc5ac,None,No
Tsen54,Up,No
Bhlhe41,Down,No
Akr1b10,Down,No
Carhsp1,None,No
Bcl2l11,None,Yes
Ercc5,None,No
Zbtb42,Down,No
Nme4,Up,No
Nudcd2,Up,No
Notch1,None,Yes
Arhgap35,None,No
Dagla,None,No
Gm18959,None,No
Klhl22,None,No
Thumpd2,None,No
